DocType: Website Settings,Add a banner to the site. (small banners are usually good),إضافة لافتة إلى الموقع. (لافتات صغيرة عادة ما تكون جيدة)
DocType: Website Settings,Set Banner from Image,تعيين راية من الصورة
apps/frappe/frappe/templates/emails/new_user.html +3,A new account has been created for you at {0},تم إنشاء حساب جديد لك في {0}
apps/frappe/frappe/public/js/frappe/views/communication.js +363,Enter Email Recipient(s),أدخل البريد الإلكتروني المستلم (ق)
DocType: Print Format,Verdana,فيردانا
apps/frappe/frappe/utils/bot.py +77,Can't identify open {0}. Try something else.,لا يمكن تحديد مفتوحة {0}. جرب شيئا آخر.
apps/frappe/frappe/core/doctype/user/user.py +215,User {0} cannot be deleted,المستخدم {0} لا يمكن حذف
apps/frappe/frappe/public/js/frappe/request.js +92,Another transaction is blocking this one. Please try again in a few seconds.,معاملة أخرى يتم حظر هذه واحدة. يرجى المحاولة مرة أخرى في بضع ثوان.
DocType: Desktop Icon,App,التطبيق
DocType: Communication,Attachment,مرفق
DocType: Property Setter,Field Name,حقل الاسم
apps/frappe/frappe/public/js/frappe/misc/utils.js +107,or,أو
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +98,module name...,اسم الوحدة النمطية ...
apps/frappe/frappe/templates/generators/web_form.html +274,Continue,استمر
DocType: Custom Field,Fieldname,Fieldname
DocType: Workflow State,certificate,شهادة
DocType: User,Tile,قرميدة
apps/frappe/frappe/core/page/data_import_tool/exporter.py +62,First data column must be blank.,يجب أن يكون عمود البيانات الأولى فارغة.
DocType: Workflow State,Print,طباعة
DocType: User,Restrict IP,تقييد IP
apps/frappe/frappe/email/smtp.py +181,Unable to send emails at this time,غير قادر على إرسال رسائل البريد الإلكتروني في هذا الوقت
apps/frappe/frappe/public/js/frappe/ui/toolbar/offcanvas_left_sidebar.html +5,Search or type a command,بحث أو كتابة أمر
DocType: Communication,Timeline Name,اسم الزمني
DocType: Email Account,e.g. smtp.gmail.com,على سبيل المثال smtp.gmail.com
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +366,Add A New Rule,إضافة قاعدة جديدة
apps/frappe/frappe/templates/pages/complete_signup.html +13,One Last Step,واحد الخطوة الأخيرة
apps/frappe/frappe/custom/doctype/custom_field/custom_field.js +52,Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,اسم نوع الوثيقة (DOCTYPE) تريد هذا الحقل لتكون مرتبطة. على سبيل المثال العملاء
DocType: User,Roles Assigned,الأدوار المسندة
DocType: Top Bar Item,Parent Label,الأصل تسمية
apps/frappe/frappe/templates/emails/auto_reply.html +2,"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail.",وقد وردت الاستعلام الخاص بك. سوف نقوم بالرد مرة أخرى قريبا. إذا كان لديك أي معلومات إضافية، يرجى الرد على هذا البريد.
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +10,Permissions are automatically translated to Standard Reports and Searches.,يتم تحويل أذونات تلقائيا إلى التقارير الموحدة و البحث .
DocType: Event,Repeat Till,تكرار حتى
apps/frappe/frappe/core/doctype/file/file_list.js +176,New,جديد
DocType: System Settings,Loading...,تحميل ...
DocType: DocField,Password,كلمة السر
DocType: Blogger,Will be used in url (usually first name).,وسوف تستخدم في رابط (عادة الاسم الأول).
apps/frappe/frappe/client.py +63,Can not edit Read Only fields,لا تستطيع تعديل اقرأ الحقول فقط
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +463,Edit Heading,تحرير العنوان
DocType: File,File URL,ملف URL
apps/frappe/frappe/desk/doctype/event/event.py +68,Upcoming Events for Today,الأحداث القادمة لهذا اليوم
DocType: Email Alert Recipient,Email By Document Field,البريد الإلكتروني بواسطة حقل الوثيقة
apps/frappe/frappe/email/receive.py +61,Cannot connect: {0},لا يمكن الاتصال: {0}
apps/frappe/frappe/utils/nestedset.py +218,Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,دمج الممكن الوحيد بين المجموعة إلى المجموعة أو عقدة ورقة إلى ورقة عقدة
apps/frappe/frappe/utils/file_manager.py +43,Added {0},تم اضافة  {0}
DocType: Currency,Fraction Units,جزء الوحدات
DocType: Communication,Type,نوع
DocType: Communication,Subject,موضوع
DocType: Web Page,Parent Web Page,صفحة ويب الأم
apps/frappe/frappe/core/doctype/docshare/docshare.py +36,User is mandatory for Share,العضو إلزامي للحصة
DocType: DocField,Hidden,مخفي
apps/frappe/frappe/model/base_document.py +416,{0} must be set first,{0} يجب تحديده أولا
DocType: Workflow State,plane,طائرة
apps/frappe/frappe/core/page/data_import_tool/exporter.py +64,"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","إذا كنت تحميل سجلات جديدة، ""تسمية السلسلة"" تصبح إلزامية، إذا كان موجودا."
apps/frappe/frappe/core/doctype/doctype/doctype.py +152,DocType can only be renamed by Administrator,DOCTYPE لا يمكن تسميتها من قبل المسؤول
apps/frappe/frappe/core/doctype/doctype/doctype.py +364,Fold can not be at the end of the form,أضعاف لا يمكن أن يكون في نهاية النموذج
DocType: Communication,Bounced,وثب
apps/frappe/frappe/config/setup.py +14,System and Website Users,النظام و الموقع الالكتروني للمستخدمين
DocType: Workflow Document State,Doc Status,حالة الوثيقة
DocType: Translation,Language Code,كود اللغة
apps/frappe/frappe/public/js/frappe/ui/toolbar/toolbar.js +80,"Your download is being built, this may take a few moments...",ويجري بناء التنزيل، وهذا قد يستغرق بضع لحظات ...
apps/frappe/frappe/public/js/frappe/ui/listing.html +6,Add Filter,إضافة عامل تصفية
DocType: Web Page,Begin this page with a slideshow of images,ابدأ الصفحة مع عرض شرائح من الصور
apps/frappe/frappe/utils/data.py +519,{0} and {1},{0} و {1}
DocType: Version,Docname,Docname
apps/frappe/frappe/core/doctype/version/version.js +10,Version restored,النسخة استعادة
DocType: About Us Settings,Website Manager,مدير الموقع
DocType: Event Role,Event Role,الحدث الدور
apps/frappe/frappe/public/js/frappe/ui/editor.html +64,Indent (Tab),البادئة (TAB)
DocType: Desktop Icon,List,قائمة
DocType: Communication,Link Name,اسم الرابط
DocType: Page Role,Page Role,الصفحة الدور
apps/frappe/frappe/core/doctype/doctype/doctype.py +294,Field {0} in row {1} cannot be hidden and mandatory without default,الحقل {0} في {1} الصف لا يمكن أن تكون مخفية وإلزامية دون الافتراضي
DocType: System Settings,mm/dd/yyyy,مم / اليوم / السنة
apps/frappe/frappe/desk/page/setup_wizard/setup_wizard_page.html +16,Previous,سابق
apps/frappe/frappe/email/doctype/email_account/email_account.py +345,Re:,رد:
DocType: Currency,"Sub-currency. For e.g. ""Cent""",شبه العملات. ل &quot;سنت&quot; على سبيل المثال
DocType: Letter Head,Check this to make this the default letter head in all prints,التحقق من ذلك لجعل هذه الرسالة الافتراضية الرأس في جميع الطبعات
DocType: Print Format,Server,خادم
DocType: Desktop Icon,Link,رابط
apps/frappe/frappe/utils/file_manager.py +93,No file attached,أي ملف مرفق
DocType: Version,Version,الإصدار
DocType: User,Fill Screen,ملء الشاشة
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js +536,"Unable to display this tree report, due to missing data. Most likely, it is being filtered out due to permissions.",غير قادر على عرض هذا التقرير شجرة، وذلك بسبب البيانات المفقودة. على الأرجح، يتم تصفيتها بها بسبب الأذونات.
apps/frappe/frappe/core/doctype/role/role.js +9,Edit Permissions,تحرير ضوابط
apps/frappe/frappe/public/js/frappe/form/grid.js +304,Edit via Upload,تحرير عبر التحميل
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +94,"document type..., e.g. customer",نوع الوثيقة ...، على سبيل المثال العملاء
DocType: Workflow State,barcode,الباركود
apps/frappe/frappe/config/setup.py +228,Add your own translations,أضف الترجمة  الخاصة بك
DocType: Country,Country Name,اسم الدولة
DocType: About Us Team Member,About Us Team Member,أعضاء فريق صفحة من نحن
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +5,"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.",يتم تعيين الأذونات على الأدوار و أنواع المستندات (وتسمى DocTypes ) من خلال وضع حقوق مثل القراءة والكتابة ، إنشاء، حذف، إرسال ، الغاء ، تعديل ، تقرير ، استيراد ، تصدير ، طباعة ، البريد الإلكتروني و تعيين أذونات العضو .
DocType: Event,Wednesday,الأربعاء
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +19,"Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes.",وبصرف النظر عن دور أساس القواعد إذن ، يمكنك تطبيق أذونات المستخدم استنادا DocTypes .
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +23,"These permissions will apply for all transactions where the permitted record is linked. For example, if Company C is added to User Permissions of user X, user X will only be able to see transactions that has company C as a linked value.",سيتم تطبيق هذه الأذونات لجميع المعاملات حيث يتم ربط السجل المسموح بها.
apps/frappe/frappe/core/doctype/doctype/doctype.py +412,Image field must be a valid fieldname,يجب أن يكون حقل صورة لFIELDNAME صحيح
DocType: Property Setter,ID (name) of the entity whose property is to be set,ID (اسم) للكيان الذي هو الملكية التي سيتم تحديدها
DocType: Website Settings,Website Theme Image Link,موضوع الموقع رابط الصورة
DocType: Website Settings,Sidebar Items,عناصر الشريط الجانبي
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +536,Select Report Name,حدد اسم التقرير
DocType: Workflow State,exclamation-sign,تعجب علامة-
apps/frappe/frappe/core/doctype/doctype/doctype.py +428,Timeline field must be a Link or Dynamic Link,يجب أن يكون حقل الزمني رابط أو الارتباط الحيوي
DocType: Website Theme,Hide Sidebar,إخفاء الشريط الجانبي
apps/frappe/frappe/integrations/doctype/dropbox_backup/dropbox_backup.py +217,Please install dropbox python module,الرجاء تثبيت قطاف بيثون وحدة
